,Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
0,1/1/2019,151200,Female,19.0,Single,Kansas,Basic,Unemployment,Other,1.0,2051.36
1,1/1/2019,151201,Male,49.0,Single,Illinois,Basic,self-employed,Card,0.0,544.04
2,1/1/2019,151202,Male,63.0,Married,New Mexico,Basic,workers,PayPal,1.0,1572.6
3,1/1/2019,151203,,18.0,Single,Virginia,Platinum,workers,Card,1.0,1199.79
4,1/1/2019,151204,Male,27.0,Single,Connecticut,Basic,self-employed,Card,0.0,
5,1/3/2019,151205,Male,71.0,Single,Hawaii,Basic,Employees,PayPal,1.0,2922.66
6,1/3/2019,151206,Female,34.0,Married,New Mexico,Platinum,Employees,PayPal,1.0,1481.42
7,1/3/2019,151207,Male,37.0,Married,Connecticut,Basic,workers,PayPal,1.0,1149.55
8,1/4/2019,151208,Male,75.0,Married,Florida,Silver,Employees,Card,0.0,1046.2
9,1/4/2019,151209,Female,41.0,Married,Vermont,Gold,Unemployment,Card,1.0,2730.6
10,1/4/2019,151210,Female,56.0,Married,California,Basic,Employees,PayPal,0.0,1712.82
11,1/5/2019,151211,Female,63.0,Married,Colorado,Basic,workers,Other,1.0,154.31
12,1/5/2019,151212,Female,60.0,Married,Iowa,Basic,self-employed,Card,1.0,819.08
13,1/5/2019,151213,Male,47.0,Single,South Carolina,Basic,Employees,PayPal,1.0,1719.83
14,1/5/2019,151214,Male,24.0,Married,Colorado,Platinum,self-employed,Other,1.0,954.12
15,1/6/2019,151215,Male,16.0,Single,New York,Platinum,workers,Other,1.0,1005.92
16,1/6/2019,151216,Female,72.0,Married,Maine,Silver,self-employed,PayPal,1.0,2882.77
17,1/7/2019,151217,Female,77.0,Married,New Mexico,Platinum,workers,Card,0.0,2999.98
18,1/7/2019,151218,Male,42.0,Married,Maryland,Basic,self-employed,Other,0.0,1902.73
19,1/8/2019,151219,Female,46.0,Married,Missouri,Basic,Employees,Card,1.0,2968.95
20,1/8/2019,151220,Female,19.0,Married,Hawaii,Missing,workers,PayPal,0.0,
21,1/8/2019,151221,Male,42.0,Married,North Dakota,Silver,workers,PayPal,0.0,995.77
22,1/8/2019,151222,Female,50.0,Married,Ohio,Missing,workers,Card,0.0,719.13
23,1/9/2019,151223,Male,47.0,Single,Nebraska,Basic,self-employed,PayPal,1.0,2407.36
24,1/10/2019,151224,Female,32.0,Single,Montana,Basic,Employees,PayPal,0.0,2737.41
25,1/11/2019,151225,Male,25.0,Married,Indiana,Basic,self-employed,Other,1.0,1514.75
26,1/12/2019,151226,Male,33.0,Married,Wisconsin,Basic,self-employed,Card,1.0,293.58
27,1/12/2019,151227,Male,61.0,Married,Alabama,Platinum,workers,Card,1.0,1094.67
28,1/12/2019,151228,Male,75.0,Married,Alabama,Basic,self-employed,PayPal,1.0,233.05
29,1/12/2019,151229,Female,62.0,Married,Indiana,Silver,Employees,Other,1.0,
30,1/12/2019,151230,Male,17.0,Married,Maine,Basic,Employees,PayPal,1.0,
31,1/13/2019,151231,Female,21.0,Single,Montana,Basic,Employees,Card,0.0,2035.07
32,1/13/2019,151232,Male,39.0,Single,Arkansas,Basic,Employees,Other,0.0,128.29
33,1/14/2019,151233,Male,15.0,Married,Missouri,Gold,self-employed,Card,1.0,628.93
34,1/14/2019,151234,Female,59.0,Married,Pennsylvania,Basic,Employees,Card,0.0,1729.36
35,1/14/2019,151235,Male,70.0,Married,New Hampshire,Silver,workers,Other,1.0,2040.29
36,1/14/2019,151236,Male,75.0,Married,Washington,Platinum,Employees,PayPal,1.0,2744.88
37,1/16/2019,151237,Male,64.0,Married,Texas,Missing,Employees,PayPal,1.0,351.88
38,1/16/2019,151238,Female,64.0,Married,Ohio,Silver,Unemployment,Other,0.0,692.14
39,1/17/2019,151239,Male,64.0,Married,New York,Silver,Unemployment,PayPal,1.0,2418.62
