Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
1/1/2019,151200,Female,19,Single,Kansas,Basic,Unemployment,Other,1,2051.36
1/1/2019,151201,Male,49,Single,Illinois,Basic,self-employed,Card,0,544.04
1/1/2019,151202,Male,63,Married,New Mexico,Basic,workers,PayPal,1,1572.6
1/1/2019,151203,,18,Single,Virginia,Platinum,workers,Card,1,1199.79
1/1/2019,151204,Male,27,Single,Connecticut,Basic,self-employed,Card,0,
1/3/2019,151205,Male,71,Single,Hawaii,Basic,Employees,PayPal,1,2922.66
1/3/2019,151206,Female,34,Married,New Mexico,Platinum,Employees,PayPal,1,1481.42
1/3/2019,151207,Male,37,Married,Connecticut,Basic,workers,PayPal,1,1149.55
1/4/2019,151208,Male,75,Married,Florida,Silver,Employees,Card,0,1046.2
1/4/2019,151209,Female,41,Married,Vermont,Gold,Unemployment,Card,1,2730.6
1/4/2019,151210,Female,56,Married,California,Basic,Employees,PayPal,0,1712.82
1/5/2019,151211,Female,63,Married,Colorado,Basic,workers,Other,1,154.31
1/5/2019,151212,Female,60,Married,Iowa,Basic,self-employed,Card,1,819.08
1/5/2019,151213,Male,47,Single,South Carolina,Basic,Employees,PayPal,1,1719.83
1/5/2019,151214,Male,24,Married,Colorado,Platinum,self-employed,Other,1,954.12
1/6/2019,151215,Male,16,Single,New York,Platinum,workers,Other,1,1005.92
1/6/2019,151216,Female,72,Married,Maine,Silver,self-employed,PayPal,1,2882.77
1/7/2019,151217,Female,77,Married,New Mexico,Platinum,workers,Card,0,2999.98
1/7/2019,151218,Male,42,Married,Maryland,Basic,self-employed,Other,0,1902.73
1/8/2019,151219,Female,46,Married,Missouri,Basic,Employees,Card,1,2968.95
1/8/2019,151220,Female,19,Married,Hawaii,Missing,workers,PayPal,0,
1/8/2019,151221,Male,42,Married,North Dakota,Silver,workers,PayPal,0,995.77
1/8/2019,151222,Female,50,Married,Ohio,Missing,workers,Card,0,719.13
1/9/2019,151223,Male,47,Single,Nebraska,Basic,self-employed,PayPal,1,2407.36
1/10/2019,151224,Female,32,Single,Montana,Basic,Employees,PayPal,0,2737.41
1/11/2019,151225,Male,25,Married,Indiana,Basic,self-employed,Other,1,1514.75
1/12/2019,151226,Male,33,Married,Wisconsin,Basic,self-employed,Card,1,293.58
1/12/2019,151227,Male,61,Married,Alabama,Platinum,workers,Card,1,1094.67
1/12/2019,151228,Male,75,Married,Alabama,Basic,self-employed,PayPal,1,233.05
1/12/2019,151229,Female,62,Married,Indiana,Silver,Employees,Other,1,
1/12/2019,151230,Male,17,Married,Maine,Basic,Employees,PayPal,1,
1/13/2019,151231,Female,21,Single,Montana,Basic,Employees,Card,0,2035.07
1/13/2019,151232,Male,39,Single,Arkansas,Basic,Employees,Other,0,128.29
1/14/2019,151233,Male,15,Married,Missouri,Gold,self-employed,Card,1,628.93
1/14/2019,151234,Female,59,Married,Pennsylvania,Basic,Employees,Card,0,1729.36
1/14/2019,151235,Male,70,Married,New Hampshire,Silver,workers,Other,1,2040.29
1/14/2019,151236,Male,75,Married,Washington,Platinum,Employees,PayPal,1,2744.88
1/16/2019,151237,Male,64,Married,Texas,Missing,Employees,PayPal,1,351.88
1/16/2019,151238,Female,64,Married,Ohio,Silver,Unemployment,Other,0,692.14
1/17/2019,151239,Male,64,Married,New York,Silver,Unemployment,PayPal,1,2418.62
1/17/2019,151240,Female,21,Married,Kentucky,Basic,workers,Card,0,2734.15
1/17/2019,151241,Female,46,Married,New Mexico,Silver,workers,PayPal,1,2851.83
1/17/2019,151242,Female,16,Single,Texas,Gold,self-employed,PayPal,1,938.16
1/18/2019,151243,Female,63,Married,Maine,Gold,workers,PayPal,1,281.92
1/19/2019,151244,Male,75,Single,Massachusetts,Basic,Employees,PayPal,1,747.68
1/20/2019,151245,Male,70,Married,Wyoming,Basic,Unemployment,Card,1,1784.15
1/20/2019,151246,Male,41,Single,Kentucky,Missing,Employees,PayPal,1,1115.9
1/21/2019,151247,Male,33,Married,Florida,Silver,Employees,Other,0,1902.47
1/21/2019,151248,Female,64,Single,Massachusetts,Platinum,self-employed,Card,1,1949.92
1/22/2019,151249,Female,73,Married,Iowa,Basic,Unemployment,Card,0,
1/22/2019,151250,Female,16,Married,Maryland,Silver,Employees,PayPal,1,583.72
1/22/2019,151251,Male,56,Single,Louisiana,Basic,self-employed,Card,0,2445.03
1/22/2019,151252,Male,35,Married,North Carolina,Basic,Unemployment,PayPal,1,1107.96
1/23/2019,151253,Male,51,Single,Kentucky,Basic,self-employed,PayPal,1,1312.78
1/23/2019,151254,Male,15,Married,Illinois,Basic,Employees,Card,1,2690.18
1/24/2019,151255,Male,26,Single,Rhode Island,Basic,workers,PayPal,1,2603.22
1/25/2019,151256,Female,67,Single,Iowa,Gold,Employees,PayPal,1,611.7
1/25/2019,151257,Male,71,Single,Massachusetts,Gold,Employees,PayPal,1,2569.67
1/25/2019,151258,Female,32,Single,South Carolina,Basic,Employees,Other,,676.7
1/25/2019,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
1/26/2019,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
1/26/2019,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,,515.77
1/26/2019,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
1/27/2019,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
1/25/2019,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
1/26/2019,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
1/26/2019,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,,515.77
1/26/2019,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
1/27/2019,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
1/27/2019,151264,Male,52,Married,Tennessee,Basic,self-employed,PayPal,1,2850.48
1/27/2019,151265,Female,30,Single,California,Silver,workers,Card,0,1947.2
1/29/2019,151266,Male,24,Married,Colorado,Platinum,workers,PayPal,0,1731.54
1/29/2019,151267,,37,Single,Ohio,Basic,Unemployment,Other,1,52.08
1/29/2019,151268,Male,53,Married,Maine,Silver,Employees,Card,0,
1/29/2019,151269,Male,21,Married,Montana,Basic,Employees,PayPal,,340.38
1/29/2019,151270,Male,24,Married,Oregon,Silver,workers,Other,1,1663.72
1/30/2019,151271,,48,Married,North Dakota,Basic,Unemployment,Card,1,828.41
1/30/2019,151272,Female,69,Single,Texas,Missing,workers,Card,,489.47
1/30/2019,151273,Female,73,Married,Alaska,Platinum,self-employed,PayPal,0,1364.31
1/30/2019,151274,Male,50,Single,Oklahoma,Missing,Employees,Card,1,2943.46
1/30/2019,151275,Male,28,Single,Connecticut,Basic,Unemployment,Card,1,2768.15
1/31/2019,151276,Female,49,Married,Vermont,Basic,workers,PayPal,1,2439.65
1/31/2019,151277,Female,70,Married,Ohio,Silver,workers,Other,1,574.1
2/1/2019,151278,Female,61,Single,Oklahoma,Basic,self-employed,Card,0,206.79
2/2/2019,151279,Female,21,Married,Oregon,Basic,self-employed,Other,0,
2/2/2019,151280,Male,34,Single,Illinois,Silver,workers,PayPal,1,1933.66
2/2/2019,151281,Female,58,Married,Nevada,Gold,workers,Card,0,2640.72
2/2/2019,151282,Male,70,Single,New Jersey,Basic,workers,PayPal,0,2969.24
2/2/2019,151283,Female,48,Married,Louisiana,Silver,Employees,Other,0,1144.28
2/3/2019,151284,Female,43,Married,Massachusetts,Platinum,self-employed,Other,1,
2/3/2019,151285,Female,51,Married,Indiana,Platinum,workers,PayPal,1,2722.37
2/3/2019,151286,Male,45,Single,New York,Basic,Employees,Other,0,2823.89
2/4/2019,151287,Female,45,Single,New York,Silver,workers,PayPal,0,1955.43
2/4/2019,151288,Male,60,Married,Rhode Island,Silver,Employees,Card,1,841.26
2/5/2019,151289,Female,41,Single,Florida,Basic,self-employed,Card,1,
2/5/2019,151290,Female,51,Single,Arkansas,Platinum,workers,Card,1,2547.96
2/5/2019,151291,Female,15,Single,Virginia,Basic,Unemployment,Card,1,2922.97
2/5/2019,151292,Male,55,Married,Michigan,Basic,Employees,PayPal,0,803.5
2/6/2019,151293,Male,75,Married,Maryland,Basic,Employees,Card,1,1612.63
2/6/2019,151294,Female,77,Single,Nebraska,Platinum,Employees,PayPal,1,1608.27
2/6/2019,151295,Female,22,Married,Kansas,Missing,workers,Card,0,2061.14
2/6/2019,151296,Female,33,Married,Virginia,Platinum,Employees,PayPal,0,2989.33
2/6/2019,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
2/7/2019,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
2/8/2019,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
2/8/2019,151300,Male,24,Married,South Carolina,Basic,Unemployment,Other,0,
2/8/2019,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
2/8/2019,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
2/8/2019,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
2/6/2019,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
2/7/2019,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
2/8/2019,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
2/8/2019,151300,Male,24,Married,South Carolina,Basic,Unemployment,Other,0,
2/8/2019,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
2/8/2019,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
2/8/2019,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
2/10/2019,151304,Male,50,Married,Montana,Basic,workers,Card,1,
2/10/2019,151305,Female,25,Married,Wyoming,Silver,workers,Other,1,309.82
2/10/2019,151306,Female,76,Single,Ohio,Basic,self-employed,PayPal,1,1331.62
2/11/2019,151307,Female,43,Married,Wyoming,Basic,Employees,Card,1,914.94
2/11/2019,151308,Female,32,Single,Oregon,Basic,workers,PayPal,1,2922.53
2/11/2019,151309,Male,43,Married,Tennessee,Silver,self-employed,PayPal,0,2434.81
